Timestamp,Model,Episodes,Opponent_Probs,Main_Mean_ROI,Main_Std_ROI,Main_BB_100,Main_Cum_NROI
2026-01-02 12:56:39,models/ac_agent_1.pt,10000,"[1.0, 0.0, 0.0]",-0.3046,1.1442,1011.79,0.0163
2026-01-02 13:09:39,models/ac_agent_5000.pt,10000,"[1.0, 0.0, 0.0]",0.0947,1.4684,11060.91,0.1099
2026-01-02 13:25:00,models/ac_agent_10000.pt,10000,"[1.0, 0.0, 0.0]",0.1804,1.5396,16977.62,0.1607
2026-01-02 13:39:33,models/ac_agent_15000.pt,10000,"[1.0, 0.0, 0.0]",0.1591,1.5035,15597.85,0.1472
2026-01-02 13:53:51,models/ac_agent_20000.pt,10000,"[1.0, 0.0, 0.0]",0.1353,1.4942,12176.97,0.1140
2026-01-02 14:08:11,models/ac_agent_25000.pt,10000,"[1.0, 0.0, 0.0]",0.1268,1.4845,12433.72,0.1160
2026-01-02 14:22:11,models/ac_agent_30000.pt,10000,"[1.0, 0.0, 0.0]",0.1534,1.4834,15542.13,0.1465
2026-01-02 14:36:23,models/ac_agent_35000.pt,10000,"[1.0, 0.0, 0.0]",0.1900,1.5165,17397.09,0.1651
2026-01-02 14:50:48,models/ac_agent_40000.pt,10000,"[1.0, 0.0, 0.0]",0.1468,1.4919,14108.47,0.1323
2026-01-02 15:04:10,models/ac_agent_45000.pt,10000,"[1.0, 0.0, 0.0]",0.1537,1.4949,13606.63,0.1265
2026-01-02 15:18:08,models/ac_agent_50000.pt,10000,"[1.0, 0.0, 0.0]",0.1746,1.5310,16001.97,0.1516
2026-01-02 16:15:15,models/ac_agent_55000.pt,10000,"[1.0, 0.0, 0.0]",0.1436,1.5159,12868.20,0.1237
2026-01-02 16:30:07,models/ac_agent_60000.pt,10000,"[1.0, 0.0, 0.0]",0.1729,1.5348,16209.75,0.1544
2026-01-02 16:45:06,models/ac_agent_65000.pt,10000,"[1.0, 0.0, 0.0]",0.1645,1.5304,15890.21,0.1508
2026-01-02 17:00:15,models/ac_agent_70000.pt,10000,"[1.0, 0.0, 0.0]",0.1983,1.5450,17447.23,0.1703
2026-01-02 17:14:32,models/ac_agent_75000.pt,10000,"[1.0, 0.0, 0.0]",0.1657,1.5272,15589.29,0.1508
